题目,A,B,C,D,是否多选
文明的进阶，离不开时间的助力，而时间的定义一直在进化。在古代，时间可以“燃”出来，香漏通过燃烧制成条形或盘形的燃香进行计时；时间可以“称”出来，秤漏通过秤称量流入受水桶中水的重量变化来计时；时间可以“流”出来，水钟是我国古代主要的计时工具，也称漏刻。先民通过香漏的“燃”、水钟的“流”等物质运动过程来度量时间，这表明,时间是物质运动的存在形式，同物质运动不可分割,时间是标示物质运动的观念形式，其具体特性的显现与测量方式相关联,时间的客观性是相对的，会随着测量工具的改变而改变,时间是人类感性直观中的先天形式，先于物质运动而存在,False
这两年，因为与“鸣呼，起飞”谐音，“芜湖起飞”成为一个网络热词。不过，这不只是一个谐音梗，也是一个真实的发展故事。从零开始，用“十年磨一剑”的精神，安徽芜湖已经形成了一条涵盖整机组装、螺旋桨、航电系统等各方面的航空产业链。发展传统产业也好，壮大新兴产业也罢，都是一件“难而正确”的事，都无法一蹴而就。芜湖有个“1%工作法”，令人印象深刻。它指的是围绕影响企业利润的技术、用工、物流、制度性交易成本等因素，千方百计帮助企业在原基础上再提高1%的利润。1%看似不多，但对企业而言，却是在激烈的市场竞争中站稳脚跟、实现长远发展的重要有利因素，由此带来的复利效应，将是持久且深远的。“十年磨一剑”的精神和“1%工作法”启示我们，事物的发展,是一个直线上升的过程,取决于外部力量的干预,是通过不断的自我否定进行的,有一个量变的积累过程,False
2025年9月，数字人民币国际运营中心正式运营，数字人民币发展迈出重要一步。数字人民币国际运营中心的战略价值，远不止于技术突破与制度创新，其深层意义在于通过构建“多边合作、多方共赢”的数字货币生态，推动国际货币体系向多元化演进。马克思主义认为，货币是,可以带来剩余价值的价值,资本的唯一物质形态,商品特有的社会属性,固定充当一般等价物的商品,False
在生产技术水平不断提高的条件下，随着资本积累的增长，必然伴随着资本的积聚和集中，使个别资本的规模日益增大。资本集中是指个别资本通过结合而形成较大的资本。资本集中最强有力的杠杆是,投资和借贷,竞争和信用,资本原始积累,生产自动化,False
毛泽东思想是马克思主义中国化时代化第一次历史性飞跃的理论成果，以独创性的理论丰富和发展了马克思列宁主义。最能体现毛泽东思想理论本质特点的思想内容是,贯穿于毛泽东思想科学体系中的立场、观点和方法,毛泽东思想在表达方式上具有的鲜明民族特色,毛泽东思想所确立的马克思主义中国化时代化的前进方向,全心全意为人民服务的根本宗旨和自力更生、艰苦奋斗的革命精神,False
邓小平曾经指出：“我们的社会主义改造是搞得成功的，很了不起。这是毛泽东同志对马克思列宁主义的一个重大贡献。”之所以说我国社会主义改造的基本完成是一个伟大的历史性胜利，是因为如此复杂、困难和深刻的社会变革①没有造成生产力的破坏，反而促进了工农业和整个国民经济的发展②没有追求纯粹的单一的社会主义经济成分，反而深刻认识到在社会主义改造基本完成以后，公有制经济可以和非公有制经济共同发展③没有引起巨大的社会动荡，反而极大地加强了人民的团结④没有导致对什么是社会主义的理解产生混乱，反而在此过程中形成了对我国社会主义发展阶段问题的科学理论,①②,②③,①③,②④7在长期实践过程中，党领导人民不懈探索现代化道路，取得了社会主义现代化建设的伟大成就，用几十年时间走完了发达国家几百年走过的工业化历程。我国现代化建设的出发点和落脚点是,False
Errrrrrrrrrrrrrrrrrrrrrrrrrrrrror,完善和发展中国特色社会主义制度,增进民生福祉、促进社会公平,解放和发展社会生产力,实现人民对美好生活的向往,
新质生产力是创新起主导作用，摆脱传统经济增长方式、生产力发展路径，具有高科技、高效能、高质量特征，符合新发展理念的先进生产力质态。发展新质生产力的基本路径是,科技创新和产业创新,增加高质量科技供给,强化企业创新主体地位,加强基础研究,False
电影《南京照相馆》上映13天，票房超过17亿元。调查显示，《南京照相馆》的观众满意度居2025年电影首位。《南京照相馆》的表达，“新”在摆脱了宏大叙事容易“见事不见人”的窠臼，开阔了对主旋律和重大题材的理解。该片集中笔墨“写”普通人在生死关头的大义与坚守，及其背后的精神脉络与人文底色。电影主创以正确的二战史观、严肃的创作态度，传递当代青年对历史真相的探求与思考，唤起全民族共同记忆，有力呼应了中国人民抗日战争暨世界反法西斯战争胜利80周年的重大主题。《南京照相馆》的成功启示我们，创新创造是,繁荣发展社会主义文化的重要方针,文化的生命所在、文化的本质特征,推动社会主义文化繁荣兴盛的唯一正确道路,决定社会主义文化事业前途命运的关键,False
孙中山先生具有顽强的革命精神，不断摸索救国救民的道路，并始终坚持奋斗。促使孙中山认识到“南与北如一丘之貉”，想依靠南方军阀来反对北洋军阀行不通的事件是,“二次革命”,护国运动,护法运动,保路运动,False
1935年，电影《风云儿女》一公映，主题歌《义勇军进行曲》便成为时代的最强音。歌曲发出了中华民族不甘沦亡的怒吼，吹响了中华儿女万众一心、血战到底的战斗号角。《义勇军进行曲》之所以发出“中华民族到了最危险的时候”的呐喊，最重要的原因是,国民党政府长期奉行“攘外必先安内”方针，对日本的大举侵略一再退让,国际联盟和英美等国政府采取对日姑息、纵容的政策,日本大举侵华，妄图把中国变为其独占的殖民地,中国长期缺乏有力的国际援助,False
1947年6月底，根据中共中央的决策和部署，刘伯承、邓小平率领的普冀鲁豫野战军主力，实施中央突破，千里跃进大别山。随后，陈毅、粟裕指挥的华东野战军主力为东路，挺进苏鲁豫皖地区。陈赓、谢富治指挥的晋冀鲁豫野战军一部为西路，挺进豫西。三路大军相互策应，机动歼敌，这标志着,蒋介石20年反革命统治由发展到消灭的转折点,人民解放军在数量上已经超过国民党军队,100多年来帝国主义在中国的统治由发展到消灭的转折点,人民解放战争战略进攻的序幕由此揭开,False
制定一部切实可行的发展国民经济的中期计划，是完成过渡时期总路线规定的工业化主体任务的重要步骤。为准备进行有计划的经济建设，我国从1951年着手编制第一个五年计划。1955年7月召开的一届全国人大二次会议通过了这个计划。“一五”计划确定的经济建设指导方针突出的核心要点是集中主要力量,发展交通运输业、轻工业、农业和商业，相应地培养建设人才,发展重工业，建立国家工业化和国防现代化的初步基础,保证国民经济中社会主义成分的比重稳步增长,保证在发展生产的基础上逐步提高人民的物质生活和文化生活的水平,False
习近平指出，党纪国法不能成为“橡皮泥”“稻草人”，无论是因为“法盲”导致违纪违法，还是故意违规违法，都要受到追究，否则就会形成“破窗效应”。任何人不论权力大小、职位高低，只要有违法犯罪行为，就要受到法律制裁，这体现的是法律的,普遍适用,优先适用,不可违反,阶级属性,False
2025年是中国人民抗日战争暨世界反法西斯战争胜利80周年，我国于9月3日上午在北京天安门广场隆重举行阅兵。这次阅兵的主题是,纪念抗战伟大胜利、弘扬抗战伟大精神,坚定维护核心，体现时代特色，彰显国威军威，激发爱国热情,铭记历史、缅怀先烈、珍爱和平、开创未来,牢记历史、不忘过去、珍爱和平、开创未来,False
在上海合作组织天津峰会上，习近平提出全球治理倡议，其核心理念是奉行主权平等、遵守国际法治、践行多边主义、倡导以人为本、注重行动导向。这五大理念阐明了改革完善全球治理需要遵循的原则、方法和路径。其中，作为全球治理基本路径的是,主权平等,国际法治,多边主义,行动导向,False
日前，国内首个AI（人工智能）儿科医生在北京儿童医院正式“上岗”。这款专家型AI儿科医生整合了大量医学语料知识，深度学习了300多位知名儿科专家的临床经验和高质量病历数据，可以担任不同领域儿科专家的临床科研助理，输出符合临床思维路径的诊疗建议，辅助医生进行疑难罕见病的诊断和治疗，提升临床决策效率。在专家看来，医生与AI的关系不是竞争，而是协同。在AI儿科医生与专家“双医并行”的会诊模式中，医生仍是决策者。AI儿科医生与专家“双医并行”说明，建立在大数据与不断升级的各种算法技术基础上的现代人工智能,在一定程度上可以承担某种社会功能,还无法代替人们以知情意统一为基础的整体决策,已经可以取代或超越人类智能,与使用者共同构成物质生产实践的主体,True
2025年《政府工作报告》提出，推动更多资金资源“投资于人”、服务于民生，支持扩大就业、促进居民增收减负、加强消费激励，形成经济发展和民生改善的良性循环。“投资于人”是相对于“投资于物”而言的，表明财政资源的导向要与人的需求直接挂钩，这既是满足人民对美好生活的需要，更是提高财政资金使用效率的必然要求。人的需求是随着经济发展阶段而变化的。随着经济发展水平提高，居民消费需求从生存型消费转向发展型消费：相应地，资金资源要从过去的“铁公基”等领域，越来越多地转到医疗、教育、养老、住房保障等与民生相关的发展型消费领域。“投资于人”这一政策导向的深刻现实与理论依据在于,"人民群众是历史的创造者，“投资于人""是坚持以人民为中心的生动体现",劳动者是生产力中最活跃的因素，“投资于人”就是投资于未来生产力,人的物质欲望是社会发展的根本动力，必须将满足个体欲望作为资源配置的最高准则,人口因素是社会存在和发展的基础及决定力量，“投资于人”能决定整个社会历史的变化发展,True
在资本主义商品生产条件下，每个资本家总是力图不断改进技术，改善经营管理，提高劳动生产率。率先提高劳动生产率的企业,生产的商品的个别劳动时间少于社会必要劳动时间,生产的商品的个别价值低于社会价值,在商品交换时不受价值规律制约,可以获得超额剩余价值,True
与第二次世界大战前的资本主义相比，当代资本主义在许多方面已经并正在发生变化。其中，在政治制度上的变化有,政治制度出现多元化的趋势，公民权利有所扩大,通过建立政策咨询机构等方式允许民众直接参与政策的制定和执行,普遍加强了法治建设，以便协调社会各阶级、阶层的利益,改良主义政党在政治舞台上的影响日益扩大,True
空想社会主义产生于16世纪初期；到19世纪上半叶达到顶峰。空想社会主义的发展经历了三个阶段，即16—17世纪的早期空想社会主义、18世纪的空想平均共产主义、19世纪初期批判的空想社会主义。与之对应的资本主义生产方式发展所经历的阶段是,家庭手工业,城市行会组织,工场手工业,机器大工业,True
大革命失败后，集中体现中国革命正确方向的是毛泽东、朱德领导的井冈山革命根据地的斗争。之所以这样说，是因为井冈山根据地的建立,是中国共产党独立领导革命战争、创建人民军队和武装夺取政权的开端,点燃了工农武装割据的星星之火,确立了毛泽东在党中央和红军的领导地位,为中国革命开辟出了农村包围城市、武装夺取政权的正确道路,True
习近平深刻指出：“我们将不断提高人民物质生活和精神生活水平，做到家家仓廪实衣食足，又让人人知礼节明荣辱。”这告诉我们,先抓物质富足、再抓精神富有是社会主义现代化的根本要求,只有坚持“两个文明”协调发展，才能不断满足人民日益增长的美好生活需要,“两个文明”协调发展，根植于中华优秀传统文化的深厚土壤,物质文明和精神文明相协调，是中国式现代化的重要特征,True
2025年7月，国务院办公厅印发《关于进一步加大稳就业政策支持力度的通知》，从支持企业稳定就业岗位、激励企业扩岗吸纳就业、做好技能培训提升就业能力、优化就业服务促进匹配、强化就业援助兜牢底线、开展就业监测防范风险、切实加强组织保障等7个方面提出政策举措，着力稳就业、稳企业、稳市场、稳预期，推动经济高质量发展。国家如此重视就业，是因为就业是,民生改善的“温度计”,经济发展的“晴雨表”,劳动者获得收入、提高生活水平的基本途径,支撑宏观经济和微观经济运行的“基本盘”,True
对“十五五”规划编制工作，习近平强调要坚持科学决策、民主决策、依法决策，加强调研论证，广泛凝聚共识，以多种方式听取人民群众和社会各界的意见建议，充分吸收干部群众在实践中创造的新鲜经验。2025年5月20日，“十五五”规划编制工作开展网络征求意见活动。在为期1个月的时间里，累计收到网民建言超过311.3万条，覆盖经济、社会、生态等各领域。“十五五”规划编制工作网络征求意见活动,反映了数字时代民意表达方式的升级,彰显了党和政府以人民为中心、在治国理政中更广泛倾听民意的行动,体现了顶层设计和问计于民的统一,是全过程人民民主的一次生动实践,True
山水意象体现了中华先贤对自然的审美和认知，“青山看不厌，流水趣何长”“白云黄鹤自来去，绿水青山无古今”等诗句，表达了中国古人对自然的热爱、敬畏与赞美。2002年，习近平在福建担任省长时就提出福建要建成中国第一个生态省。到浙江工作后，他于2005年又提出“绿水青山就是金山银山”，如今这已成为中国人民的共识。“绿水青山就是金山银山”理念之所以成为全国人民的共识，根本就在于这一重要理念,以“两个结合”的鲜明特质继承发展了马克思主义生态观、发展观,深深根植于中华民族深厚的生态文化基因之中,与时俱进地彰显出时代价值,已经成为引领发展的第一动力,True
孙中山先生是伟大的民族英雄、伟大的爱国主义者、中国民主革命的伟大先驱，一生以革命为己任，立志救国救民，为中华民族作出了彪炳史册的贡献。孙中山先生的丰功伟绩表现在,领导了辛亥革命，结束了统治中国几千年的君主专制制度,把旧三民主义发展为新三民主义，实行联俄、联共、扶助农工三大政策,发动了以推翻北洋军阀统治为目标的北伐战争,坚决反对军阀分裂割据，坚定维护民主共和制度和国家完整统一,True
毛泽东指出，俄罗斯以民众大联合打倒贵族、驱逐富人的事实，使全世界为之震动。革命浪潮风起云涌，“异军特起，更有中华长城渤海之间，发生了五四'运动”。这表明,俄国十月革命是五四运动的直接导火线,五四运动是在新的时代条件和社会历史条件下发生的,十月革命使中国人看到了民族解放的新希望,只有社会主义才能救中国成为当时全社会的普遍共识,True
从1952年到1978年，我国工农业总产值平均年增长率为8.2%，其中工业年均增长11.4%。按照不变价格计算，1952年国内生产总值为679亿元人民币，1976年增加到2965亿元。人均国内生产总值从1952年的119元增加到1976年的319元。经过20多年坚持不懈的努力，我国建立起独立的、比较完整的工业体系和国民经济体系。独立的、比较完整的工业体系和国民经济体系的建立,从根本上解决了工业化中“从无到有”的问题,使中国在赢得政治上的独立后赢得了经济上的独立,为中国以后的发展奠定了牢固的物质技术基础,为中国在平等互利的原则下发展对外贸易和经济往来创建了前提,True
道德属于上层建筑的范畴，是一种特殊的社会意识形态。道德以善恶为评价方式，发挥作用主要是依靠,社会舆论,传统习俗,内心信念,国家强制,True
2025年是全民普法40周年，也是“八五”普法规划的收官之年。9月12日，十四届全国人大常委会第十七次会议表决通过了《法治宣传教育法》，贯彻落实党的二十届三中全会“改进法治宣传教育”的要求，回应人民群众对法治宣传教育的迫切需求。以法治方式推动和保障新时代法治宣传教育工作，有助于,提升公民法治素养,防止和减少社会矛盾发生,规范公权力运行,推动法治文化繁荣发展,True
中国共产党第二十届中央委员会第四次全体会议于2025年10月20日至23日在北京举行。全会审议通过了《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》。制定“十五五”规划建议，系统谋划“十五五”时期经济社会发展，是,实现党的二十大描绘的宏伟蓝图、分阶段有步骤推进中国式现代化的需要,有效应对复杂严峻的外部环境新变化、在激烈国际竞争中赢得战略主动的需要,适应我国发展阶段性要求、深入推动高质量发展的需要,应对和平赤字、发展赤字、构建人类命运共同体的需要,True
2025年9月1日，习近平在“上海合作组织+”会议上发表重要讲话，郑重提出全球治理倡议。这是继全球发展倡议、全球安全倡议、全球文明倡议后，习近平提出的又一重大全球性倡议。全球治理倡议,是中国为引领全球治理变革贡献的新理念,是对现行全球治理体制机制的调整改革和创新完善,有利于促进国际社会共享发展机遇、应对全球性挑战,有利于推动构建更加公正合理的全球治理体系，携手迈向人类命运共同体,True
